Year,Month,Day,Time (in MPH),Speed
2019,12,02,14:01:31,30.279656694805535
2019,12,02,14:01:36,20.21569987985106
2019,12,02,14:01:51,18.44349198764391
2019,12,02,14:01:56,20.27187652473165
2019,12,02,14:02:24,28.786470149185376
2019,12,02,14:02:30,20.630285381714017
2019,12,02,14:02:35,17.336657906992375
2019,12,02,14:02:45,18.917569323960024
2019,12,02,14:02:50,20.65816983197745
2019,12,02,14:16:21,25.694900541827252
2019,12,02,14:16:27,19.31582235760801
2020,04,06,12:35:31,53.66951811477205
2020,04,06,12:35:34,35.560061486694835
2020,04,06,12:35:37,28.82663148277507
2020,04,06,12:35:42,33.55095647582532
2020,04,06,12:35:45,38.67337850405791
2020,04,06,12:39:34,50.51249160477757
2020,04,06,12:39:37,33.16585302530353
2020,04,06,12:39:40,31.55724889550116
2020,04,06,12:39:45,31.832828731452125
2020,04,06,13:07:43,39.89822718709221
2020,04,06,16:07:54,122.22812970019413
2020,04,06,16:08:26,44.58096397363177
2020,04,06,16:08:27,67.28188605810873
2020,04,06,16:08:37,17.19248707787665
2020,04,06,16:08:37,43.49776420069476
2020,04,06,16:08:51,41.95737940225573
2020,04,06,16:08:51,80.65303329798517
2020,04,06,16:09:13,20.849601361619353
2020,04,06,16:10:07,53.800403982549355
2020,04,06,16:10:10,29.49109935855302
2020,04,06,16:10:12,28.394329447716476
2020,04,06,16:10:16,36.81504589264817
2020,04,06,16:10:18,29.596675273621717
2020,04,06,16:23:44,49.70002459326006
2020,04,06,16:23:47,26.241485149492725
2020,04,06,16:23:50,24.051200911370838
2020,04,06,16:23:54,29.921986278352144
2020,04,06,16:23:57,22.996836448448676
2020,04,06,16:29:03,46.89141638085027
2020,04,06,16:29:06,27.91708499683845
2020,04,06,16:29:09,25.183018675837598
2020,04,06,16:29:14,29.47700606008164
2020,04,06,16:29:16,23.377838423770733
2020,04,06,16:33:02,72.88691461320506
2020,04,06,16:33:05,41.82157031074748
2020,04,06,16:33:08,40.4599081471682
2020,04,06,16:33:13,51.52803621264203
2020,04,06,16:33:15,38.603995736489146
2020,04,06,16:34:57,73.70263432302418
2020,04,06,16:35:00,39.64737308675172
2020,04,06,16:35:03,37.21920991036265
2020,04,06,16:35:08,49.29986951431465
2020,04,06,16:35:11,37.88623496029723
2020,04,06,16:35:18,75.61051357191947
2020,04,06,16:35:21,43.269087536542344
2020,04,06,16:35:23,38.06465688453881
2020,04,06,16:35:28,54.072385004590494
2020,04,06,16:35:31,37.93160944055701
2020,04,06,16:35:37,73.55570944303786
2020,04,06,16:35:40,40.587149886512755
